,Unnamed: 0,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour
18,18,spring,0,0,bad,Normal temperature,21.21,Moist,Strong wind,9.0,26.0,35.0,2011,1,1,18
19,19,spring,0,0,bad,Normal temperature,21.21,Moist,Strong wind,6.0,31.0,37.0,2011,1,1,19
20,20,spring,0,0,normal,Normal temperature,20.455,Moist,Strong wind,11.0,25.0,36.0,2011,1,1,20
21,21,spring,0,0,normal,Normal temperature,20.455,Moist,Strong wind,3.0,31.0,34.0,2011,1,1,21
22,22,spring,0,0,normal,Normal temperature,20.455,Moist,Strong wind,11.0,17.0,28.0,2011,1,1,22
23,23,spring,0,0,normal,Normal temperature,22.725,Moist,Strong wind,15.0,24.0,39.0,2011,1,1,23
24,24,spring,0,0,normal,Normal temperature,22.725,Moist,Strong wind,4.0,13.0,17.0,2011,1,2,0
25,25,spring,0,0,normal,Normal temperature,21.97,Moist,Strong wind,1.0,16.0,17.0,2011,1,2,1
26,26,spring,0,0,normal,Normal temperature,21.21,Moist,Strong wind,1.0,8.0,9.0,2011,1,2,2
27,27,spring,0,0,normal,Normal temperature,22.725,Moist,Strong wind,2.0,4.0,6.0,2011,1,2,3
28,28,spring,0,0,normal,Normal temperature,22.725,Moist,Strong wind,2.0,1.0,3.0,2011,1,2,4
29,29,spring,0,0,bad,Normal temperature,21.21,Normal humidity,Strong wind,0.0,2.0,2.0,2011,1,2,6
30,30,spring,0,0,normal,Normal temperature,20.455,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,2,7
31,31,spring,0,0,bad,Normal temperature,20.455,Normal humidity,Strong wind,0.0,8.0,8.0,2011,1,2,8
32,32,spring,0,0,normal,Normal temperature,19.695,Normal humidity,Strong wind,1.0,19.0,20.0,2011,1,2,9
33,33,spring,0,0,normal,Normal temperature,17.425,Moist,Strong wind,7.0,46.0,53.0,2011,1,2,10
34,34,spring,0,0,normal,Normal temperature,16.665,Normal humidity,Strong wind,16.0,54.0,70.0,2011,1,2,11
35,35,spring,0,0,normal,Normal temperature,16.665,Normal humidity,Strong wind,20.0,73.0,93.0,2011,1,2,12
36,36,spring,0,0,normal,Normal temperature,17.425,Normal humidity,Strong wind,11.0,64.0,75.0,2011,1,2,13
37,37,spring,0,0,bad,Normal temperature,17.425,Normal humidity,Strong wind,4.0,55.0,59.0,2011,1,2,14
38,38,spring,0,0,bad,Normal temperature,16.665,Moist,Strong wind,19.0,55.0,74.0,2011,1,2,15
39,39,spring,0,0,bad,Normal temperature,16.665,Normal humidity,Strong wind,9.0,67.0,76.0,2011,1,2,16
40,40,spring,0,0,good,Normal temperature,16.665,Normal humidity,Strong wind,7.0,58.0,65.0,2011,1,2,17
41,41,spring,0,0,normal,Normal temperature,16.665,Normal humidity,Strong wind,10.0,43.0,53.0,2011,1,2,18
42,42,spring,0,0,good,Normal temperature,14.395,Normal humidity,Strong wind,1.0,29.0,30.0,2011,1,2,19
43,43,spring,0,0,good,Normal temperature,13.635,Normal humidity,Strong wind,5.0,17.0,22.0,2011,1,2,20
44,44,spring,0,0,good,cold,11.365,Normal humidity,Strong wind,11.0,20.0,31.0,2011,1,2,21
45,45,spring,0,0,good,cold,10.605,Normal humidity,Strong wind,0.0,9.0,9.0,2011,1,2,22
46,46,spring,0,0,good,cold,11.365,Normal humidity,Strong wind,0.0,8.0,8.0,2011,1,2,23
47,47,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,0.0,5.0,5.0,2011,1,3,0
48,48,spring,0,1,good,cold,8.335,Normal humidity,Strong wind,0.0,2.0,2.0,2011,1,3,1
49,49,spring,0,1,good,cold,6.82,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,3,4
50,50,spring,0,1,good,cold,6.82,Normal humidity,Strong wind,0.0,3.0,3.0,2011,1,3,5
51,51,spring,0,1,good,cold,5.305,Normal humidity,Strong wind,0.0,30.0,30.0,2011,1,3,6
52,52,spring,0,1,good,cold,6.82,Normal humidity,Strong wind,1.0,63.0,64.0,2011,1,3,7
53,53,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,1.0,153.0,154.0,2011,1,3,8
54,54,spring,0,1,good,cold,6.82,Normal humidity,Strong wind,7.0,81.0,88.0,2011,1,3,9
55,55,spring,0,1,good,cold,8.335,Normal humidity,Strong wind,11.0,33.0,44.0,2011,1,3,10
56,56,spring,0,1,good,cold,9.09,Normal humidity,Strong wind,10.0,41.0,51.0,2011,1,3,11
57,57,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,13.0,48.0,61.0,2011,1,3,12
58,58,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,8.0,53.0,61.0,2011,1,3,13
59,59,spring,0,1,good,cold,12.12,Normal humidity,Strong wind,11.0,66.0,77.0,2011,1,3,14
60,60,spring,0,1,good,cold,12.12,Normal humidity,Strong wind,14.0,58.0,72.0,2011,1,3,15
61,61,spring,0,1,good,cold,12.12,Normal humidity,Strong wind,9.0,67.0,76.0,2011,1,3,16
62,62,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,11.0,146.0,157.0,2011,1,3,17
63,63,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,9.0,148.0,157.0,2011,1,3,18
64,64,spring,0,1,good,cold,12.88,Normal humidity,No wind,8.0,102.0,110.0,2011,1,3,19
65,65,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,3.0,49.0,52.0,2011,1,3,20
66,66,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,3.0,49.0,52.0,2011,1,3,21
67,67,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,0.0,20.0,20.0,2011,1,3,22
68,68,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,1.0,11.0,12.0,2011,1,3,23
69,69,spring,0,1,good,cold,9.09,Normal humidity,Strong wind,0.0,5.0,5.0,2011,1,4,0
70,70,spring,0,1,good,cold,9.09,Normal humidity,Strong wind,0.0,2.0,2.0,2011,1,4,1
71,71,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,4,2
72,72,spring,0,1,good,cold,9.09,Normal humidity,Strong wind,0.0,2.0,2.0,2011,1,4,4
73,73,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,0.0,4.0,4.0,2011,1,4,5
74,74,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,0.0,36.0,36.0,2011,1,4,6
75,75,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,2.0,92.0,94.0,2011,1,4,7
76,76,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,2.0,177.0,179.0,2011,1,4,8
77,77,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,2.0,98.0,100.0,2011,1,4,9
78,78,spring,0,1,normal,cold,6.82,Normal humidity,Strong wind,5.0,37.0,42.0,2011,1,4,10
79,79,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,7.0,50.0,57.0,2011,1,4,11
80,80,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,12.0,66.0,78.0,2011,1,4,12
81,81,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,18.0,79.0,97.0,2011,1,4,13
82,82,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,9.0,54.0,63.0,2011,1,4,14
83,83,spring,0,1,good,cold,13.635,Normal humidity,Strong wind,17.0,48.0,65.0,2011,1,4,15
84,84,spring,0,1,good,Normal temperature,14.395,Normal humidity,Strong wind,15.0,68.0,83.0,2011,1,4,16
85,85,spring,0,1,good,cold,13.635,Normal humidity,Strong wind,10.0,202.0,212.0,2011,1,4,17
86,86,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,3.0,179.0,182.0,2011,1,4,18
87,87,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,2.0,110.0,112.0,2011,1,4,19
88,88,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,1.0,53.0,54.0,2011,1,4,20
89,89,spring,0,1,good,cold,13.635,Normal humidity,No wind,0.0,48.0,48.0,2011,1,4,21
90,90,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,1.0,34.0,35.0,2011,1,4,22
91,91,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,2.0,9.0,11.0,2011,1,4,23
92,92,spring,0,1,good,cold,12.88,Normal humidity,No wind,0.0,6.0,6.0,2011,1,5,0
93,93,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,0.0,6.0,6.0,2011,1,5,1
94,94,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,0.0,2.0,2.0,2011,1,5,2
95,95,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,0.0,2.0,2.0,2011,1,5,4
96,96,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,0.0,3.0,3.0,2011,1,5,5
97,97,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,0.0,33.0,33.0,2011,1,5,6
98,98,spring,0,1,good,cold,9.09,Normal humidity,Strong wind,1.0,87.0,88.0,2011,1,5,7
99,99,spring,0,1,good,cold,9.09,Normal humidity,Strong wind,3.0,192.0,195.0,2011,1,5,8
100,100,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,6.0,109.0,115.0,2011,1,5,9
101,101,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,4.0,53.0,57.0,2011,1,5,10
102,102,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,12.0,34.0,46.0,2011,1,5,11
103,103,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,5.0,74.0,79.0,2011,1,5,12
104,104,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,6.0,65.0,71.0,2011,1,5,13
105,105,spring,0,1,good,Normal temperature,14.395,dry,Strong wind,10.0,52.0,62.0,2011,1,5,14
106,106,spring,0,1,good,Normal temperature,14.395,dry,Strong wind,7.0,55.0,62.0,2011,1,5,15
107,107,spring,0,1,good,Normal temperature,15.91,dry,Strong wind,4.0,85.0,89.0,2011,1,5,16
108,108,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,4.0,186.0,190.0,2011,1,5,17
109,109,spring,0,1,good,cold,12.12,Normal humidity,Strong wind,3.0,166.0,169.0,2011,1,5,18
110,110,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,5.0,127.0,132.0,2011,1,5,19
111,111,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,7.0,82.0,89.0,2011,1,5,20
112,112,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,3.0,40.0,43.0,2011,1,5,21
113,113,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,1.0,41.0,42.0,2011,1,5,22
114,114,spring,0,1,good,cold,12.88,Normal humidity,No wind,1.0,18.0,19.0,2011,1,5,23
115,115,spring,0,1,good,cold,12.12,Normal humidity,No wind,0.0,11.0,11.0,2011,1,6,0
116,116,spring,0,1,good,cold,11.365,Normal humidity,No wind,0.0,4.0,4.0,2011,1,6,1
117,117,spring,0,1,good,cold,11.365,Normal humidity,No wind,0.0,2.0,2.0,2011,1,6,2
118,118,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,6,4
119,119,spring,0,1,normal,cold,9.09,Normal humidity,Strong wind,0.0,4.0,4.0,2011,1,6,5
120,120,spring,0,1,normal,cold,8.335,Normal humidity,Strong wind,0.0,36.0,36.0,2011,1,6,6
121,121,spring,0,1,normal,cold,11.365,Normal humidity,No wind,0.0,95.0,95.0,2011,1,6,7
122,122,spring,0,1,good,cold,11.365,Normal humidity,No wind,3.0,216.0,219.0,2011,1,6,8
123,123,spring,0,1,normal,cold,12.12,Normal humidity,No wind,6.0,116.0,122.0,2011,1,6,9
124,124,spring,0,1,good,cold,12.88,Normal humidity,No wind,3.0,42.0,45.0,2011,1,6,10
125,125,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,2.0,57.0,59.0,2011,1,6,11
126,126,spring,0,1,good,cold,14.395,Normal humidity,No wind,6.0,78.0,84.0,2011,1,6,12
127,127,spring,0,1,good,cold,13.635,Normal humidity,Strong wind,12.0,55.0,67.0,2011,1,6,13
128,128,spring,0,1,good,cold,13.635,Normal humidity,Strong wind,11.0,59.0,70.0,2011,1,6,14
129,129,spring,0,1,good,cold,13.635,Normal humidity,No wind,8.0,54.0,62.0,2011,1,6,15
130,130,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,12.0,74.0,86.0,2011,1,6,16
131,131,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,9.0,163.0,172.0,2011,1,6,17
132,132,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,5.0,158.0,163.0,2011,1,6,18
133,133,spring,0,1,good,cold,12.88,Normal humidity,Strong wind,3.0,109.0,112.0,2011,1,6,19
134,134,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,3.0,66.0,69.0,2011,1,6,20
135,135,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,0.0,48.0,48.0,2011,1,6,21
136,136,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,1.0,51.0,52.0,2011,1,6,22
137,137,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,4.0,19.0,23.0,2011,1,6,23
138,138,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,4.0,13.0,17.0,2011,1,7,0
139,139,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,2.0,5.0,7.0,2011,1,7,1
140,140,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,7,2
141,141,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,7,4
142,142,spring,0,1,bad,cold,13.635,Normal humidity,No wind,0.0,5.0,5.0,2011,1,7,5
143,143,spring,0,1,normal,cold,12.88,Normal humidity,No wind,8.0,26.0,34.0,2011,1,7,6
144,144,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,8.0,76.0,84.0,2011,1,7,7
145,145,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,20.0,190.0,210.0,2011,1,7,8
146,146,spring,0,1,good,cold,9.09,Normal humidity,Strong wind,9.0,125.0,134.0,2011,1,7,9
147,147,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,16.0,47.0,63.0,2011,1,7,10
148,148,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,19.0,48.0,67.0,2011,1,7,11
149,149,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,9.0,50.0,59.0,2011,1,7,12
150,150,spring,0,1,normal,cold,9.09,Normal humidity,Strong wind,9.0,64.0,73.0,2011,1,7,13
151,151,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,7.0,43.0,50.0,2011,1,7,14
152,152,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,9.0,63.0,72.0,2011,1,7,15
153,153,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,5.0,82.0,87.0,2011,1,7,16
154,154,spring,0,1,normal,cold,12.88,Normal humidity,No wind,9.0,178.0,187.0,2011,1,7,17
155,155,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,7.0,116.0,123.0,2011,1,7,18
156,156,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,3.0,92.0,95.0,2011,1,7,19
157,157,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,1.0,50.0,51.0,2011,1,7,20
158,158,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,0.0,39.0,39.0,2011,1,7,21
159,159,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,2.0,34.0,36.0,2011,1,7,22
160,160,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,1.0,14.0,15.0,2011,1,7,23
161,161,spring,0,0,normal,cold,9.85,Normal humidity,Strong wind,1.0,24.0,25.0,2011,1,8,0
162,162,spring,0,0,normal,cold,10.605,Normal humidity,Strong wind,1.0,15.0,16.0,2011,1,8,1
163,163,spring,0,0,normal,cold,12.12,Normal humidity,No wind,3.0,13.0,16.0,2011,1,8,2
164,164,spring,0,0,bad,cold,9.85,Normal humidity,Strong wind,0.0,7.0,7.0,2011,1,8,3
165,165,spring,0,0,bad,cold,9.85,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,8,4
166,166,spring,0,0,normal,cold,8.335,Normal humidity,Strong wind,0.0,5.0,5.0,2011,1,8,5
167,167,spring,0,0,normal,cold,8.335,Normal humidity,Strong wind,0.0,2.0,2.0,2011,1,8,6
168,168,spring,0,0,normal,cold,9.09,Normal humidity,Strong wind,1.0,8.0,9.0,2011,1,8,7
169,169,spring,0,0,bad,cold,9.09,Moist,Strong wind,0.0,15.0,15.0,2011,1,8,8
170,170,spring,0,0,bad,cold,9.09,Moist,Strong wind,0.0,20.0,20.0,2011,1,8,9
171,171,spring,0,0,normal,cold,9.85,Moist,Strong wind,5.0,56.0,61.0,2011,1,8,10
172,172,spring,0,0,normal,cold,9.09,Normal humidity,Strong wind,2.0,60.0,62.0,2011,1,8,11
173,173,spring,0,0,normal,cold,9.09,Normal humidity,Strong wind,8.0,90.0,98.0,2011,1,8,12
174,174,spring,0,0,good,cold,9.09,Normal humidity,Strong wind,7.0,95.0,102.0,2011,1,8,13
175,175,spring,0,0,good,cold,8.335,Normal humidity,Strong wind,12.0,83.0,95.0,2011,1,8,14
176,176,spring,0,0,good,cold,8.335,Normal humidity,Strong wind,5.0,69.0,74.0,2011,1,8,15
177,177,spring,0,0,good,cold,6.82,dry,Strong wind,8.0,68.0,76.0,2011,1,8,16
178,178,spring,0,0,good,cold,6.06,Normal humidity,Strong wind,5.0,64.0,69.0,2011,1,8,17
179,179,spring,0,0,good,cold,6.06,Normal humidity,Strong wind,3.0,52.0,55.0,2011,1,8,18
180,180,spring,0,0,good,cold,6.06,Normal humidity,Strong wind,4.0,26.0,30.0,2011,1,8,19
181,181,spring,0,0,good,cold,6.06,Normal humidity,Strong wind,0.0,28.0,28.0,2011,1,8,20
182,182,spring,0,0,good,cold,5.305,Normal humidity,Strong wind,2.0,35.0,37.0,2011,1,8,21
183,183,spring,0,0,good,cold,5.305,Normal humidity,Strong wind,1.0,33.0,34.0,2011,1,8,22
184,184,spring,0,0,good,cold,3.03,Normal humidity,Strong wind,0.0,22.0,22.0,2011,1,8,23
185,185,spring,0,0,good,cold,3.79,Normal humidity,Strong wind,1.0,24.0,25.0,2011,1,9,0
186,186,spring,0,0,good,cold,3.03,Normal humidity,Strong wind,0.0,12.0,12.0,2011,1,9,1
187,187,spring,0,0,good,cold,3.03,Normal humidity,Strong wind,0.0,11.0,11.0,2011,1,9,2
188,188,spring,0,0,good,cold,3.79,Normal humidity,Strong wind,0.0,4.0,4.0,2011,1,9,3
189,189,spring,0,0,good,cold,4.545,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,9,4
190,190,spring,0,0,good,cold,4.545,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,9,5
191,191,spring,0,0,good,cold,4.545,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,9,6
192,192,spring,0,0,good,cold,4.545,Normal humidity,Strong wind,1.0,5.0,6.0,2011,1,9,7
193,193,spring,0,0,good,cold,4.545,Normal humidity,Strong wind,0.0,10.0,10.0,2011,1,9,8
194,194,spring,0,0,good,cold,3.79,Normal humidity,Strong wind,0.0,19.0,19.0,2011,1,9,9
195,195,spring,0,0,good,cold,5.305,Normal humidity,Strong wind,0.0,49.0,49.0,2011,1,9,10
196,196,spring,0,0,good,cold,6.06,Normal humidity,Strong wind,2.0,47.0,49.0,2011,1,9,11
197,197,spring,0,0,good,cold,6.82,Normal humidity,Strong wind,4.0,79.0,83.0,2011,1,9,12
198,198,spring,0,0,good,cold,8.335,Normal humidity,Strong wind,6.0,69.0,75.0,2011,1,9,13
199,199,spring,0,0,good,cold,9.09,Normal humidity,Strong wind,8.0,64.0,72.0,2011,1,9,14
200,200,spring,0,0,good,cold,9.85,Normal humidity,Strong wind,5.0,77.0,82.0,2011,1,9,15
201,201,spring,0,0,good,cold,8.335,Normal humidity,Strong wind,13.0,79.0,92.0,2011,1,9,16
202,202,spring,0,0,good,cold,7.575,Normal humidity,Strong wind,3.0,59.0,62.0,2011,1,9,17
203,203,spring,0,0,good,cold,6.82,Normal humidity,Strong wind,4.0,44.0,48.0,2011,1,9,18
204,204,spring,0,0,good,cold,6.82,Normal humidity,Strong wind,1.0,40.0,41.0,2011,1,9,19
205,205,spring,0,0,good,cold,6.06,Normal humidity,Strong wind,0.0,38.0,38.0,2011,1,9,20
206,206,spring,0,0,good,cold,5.305,Normal humidity,Strong wind,1.0,19.0,20.0,2011,1,9,21
207,207,spring,0,0,good,cold,6.06,Normal humidity,Strong wind,5.0,10.0,15.0,2011,1,9,22
208,208,spring,0,0,good,cold,6.82,Normal humidity,Strong wind,0.0,6.0,6.0,2011,1,9,23
209,209,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,2.0,3.0,5.0,2011,1,10,0
210,210,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,1.0,0.0,1.0,2011,1,10,1
211,211,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,0.0,3.0,3.0,2011,1,10,2
212,212,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,10,3
213,213,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,1.0,2.0,3.0,2011,1,10,4
214,214,spring,0,1,good,cold,5.305,Normal humidity,Strong wind,0.0,3.0,3.0,2011,1,10,5
215,215,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,0.0,31.0,31.0,2011,1,10,6
216,216,spring,0,1,good,cold,6.06,Normal humidity,Strong wind,2.0,75.0,77.0,2011,1,10,7
217,217,spring,0,1,normal,cold,6.06,Normal humidity,Strong wind,4.0,184.0,188.0,2011,1,10,8
218,218,spring,0,1,normal,cold,6.06,Normal humidity,Strong wind,2.0,92.0,94.0,2011,1,10,9
219,219,spring,0,1,normal,cold,6.06,Normal humidity,Strong wind,0.0,31.0,31.0,2011,1,10,10
220,220,spring,0,1,normal,cold,6.82,Normal humidity,Strong wind,2.0,28.0,30.0,2011,1,10,11
221,221,spring,0,1,normal,cold,9.09,Normal humidity,Strong wind,5.0,47.0,52.0,2011,1,10,12
222,222,spring,0,1,normal,cold,9.09,Normal humidity,Strong wind,4.0,50.0,54.0,2011,1,10,13
223,223,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,0.0,47.0,47.0,2011,1,10,14
224,224,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,2.0,43.0,45.0,2011,1,10,15
225,225,spring,0,1,good,cold,10.605,Normal humidity,Strong wind,4.0,70.0,74.0,2011,1,10,16
226,226,spring,0,1,good,cold,11.365,Normal humidity,Strong wind,4.0,174.0,178.0,2011,1,10,17
227,227,spring,0,1,good,cold,9.85,Normal humidity,Strong wind,1.0,154.0,155.0,2011,1,10,18
228,228,spring,0,1,good,cold,8.335,Normal humidity,Strong wind,3.0,92.0,95.0,2011,1,10,19
229,229,spring,0,1,good,cold,8.335,Normal humidity,Strong wind,1.0,73.0,74.0,2011,1,10,20
230,230,spring,0,1,good,cold,6.82,Normal humidity,Strong wind,1.0,37.0,38.0,2011,1,10,21
231,231,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,2.0,22.0,24.0,2011,1,10,22
232,232,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,0.0,18.0,18.0,2011,1,10,23
233,233,spring,0,1,good,cold,8.335,Normal humidity,Strong wind,2.0,10.0,12.0,2011,1,11,0
234,234,spring,0,1,good,cold,7.575,Normal humidity,Strong wind,0.0,3.0,3.0,2011,1,11,1
235,235,spring,0,1,normal,cold,7.575,Normal humidity,Strong wind,0.0,3.0,3.0,2011,1,11,2
236,236,spring,0,1,normal,cold,9.09,Normal humidity,Strong wind,0.0,6.0,6.0,2011,1,11,5
237,237,spring,0,1,normal,cold,9.09,Normal humidity,Strong wind,0.0,27.0,27.0,2011,1,11,6
238,238,spring,0,1,normal,cold,11.365,Normal humidity,No wind,2.0,97.0,99.0,2011,1,11,7
239,239,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,3.0,214.0,217.0,2011,1,11,8
240,240,spring,0,1,normal,cold,9.85,Normal humidity,Strong wind,3.0,127.0,130.0,2011,1,11,9
241,241,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,3.0,51.0,54.0,2011,1,11,10
242,242,spring,0,1,normal,cold,10.605,Normal humidity,Strong wind,4.0,31.0,35.0,2011,1,11,11
243,243,spring,0,1,normal,cold,11.365,Normal humidity,Strong wind,2.0,55.0,57.0,2011,1,11,12
244,244,spring,0,1,normal,cold,11.365,Normal humidity,Strong wind,6.0,46.0,52.0,2011,1,11,13
245,245,spring,0,1,normal,cold,11.365,Normal humidity,Strong wind,3.0,60.0,63.0,2011,1,11,14
246,246,spring,0,1,normal,cold,9.85,Moist,Strong wind,2.0,45.0,47.0,2011,1,11,15
247,247,spring,0,1,normal,cold,7.575,Moist,Strong wind,4.0,72.0,76.0,2011,1,11,16
248,248,spring,0,1,normal,cold,7.575,Moist,Strong wind,6.0,130.0,136.0,2011,1,11,17
249,249,spring,0,1,bad,cold,9.09,Moist,Strong wind,1.0,94.0,95.0,2011,1,11,18
250,250,spring,0,1,bad,cold,11.365,Moist,No wind,0.0,51.0,51.0,2011,1,11,19
251,251,spring,0,1,bad,cold,7.575,Moist,Strong wind,0.0,32.0,32.0,2011,1,11,20
252,252,spring,0,1,bad,cold,9.85,Moist,Strong wind,0.0,20.0,20.0,2011,1,11,21
253,253,spring,0,1,bad,cold,9.09,Moist,Strong wind,1.0,28.0,29.0,2011,1,11,22
254,254,spring,0,1,bad,cold,9.85,Moist,Strong wind,1.0,18.0,19.0,2011,1,11,23
