,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour
40,1,0,0,1,13.94,16.665,57,12.998,7,58,65,2011,1,2,17
41,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,2011,1,2,18
42,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,2011,1,2,19
43,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,2011,1,2,20
44,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,2011,1,2,21
45,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,2011,1,2,22
46,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,2011,1,2,23
47,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,2011,1,3,0
48,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,2011,1,3,1
49,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,2011,1,3,4
50,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,2011,1,3,5
51,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,2011,1,3,6
52,1,0,1,1,5.74,6.82,50,12.998,1,63,64,2011,1,3,7
53,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,2011,1,3,8
54,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,2011,1,3,9
55,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,2011,1,3,10
56,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,2011,1,3,11
57,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,2011,1,3,12
58,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,2011,1,3,13
59,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,2011,1,3,14
60,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,2011,1,3,15
61,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,2011,1,3,16
62,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,2011,1,3,17
63,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,2011,1,3,18
64,1,0,1,1,8.2,12.88,47,0.0,8,102,110,2011,1,3,19
65,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,2011,1,3,20
66,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,2011,1,3,21
67,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,2011,1,3,22
68,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,2011,1,3,23
69,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,2011,1,4,0
70,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,2011,1,4,1
71,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,2011,1,4,2
72,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,2011,1,4,4
73,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,2011,1,4,5
74,1,0,1,1,4.92,7.575,74,7.0015,0,36,36,2011,1,4,6
75,1,0,1,1,4.92,7.575,74,8.9981,2,92,94,2011,1,4,7
76,1,0,1,1,5.74,7.575,69,11.0014,2,177,179,2011,1,4,8
77,1,0,1,1,6.56,7.575,64,15.0013,2,98,100,2011,1,4,9
78,1,0,1,2,6.56,6.82,69,22.0028,5,37,42,2011,1,4,10
79,1,0,1,1,9.02,10.605,51,19.9995,7,50,57,2011,1,4,11
80,1,0,1,1,9.02,11.365,51,11.0014,12,66,78,2011,1,4,12
81,1,0,1,1,9.84,11.365,56,12.998,18,79,97,2011,1,4,13
82,1,0,1,1,10.66,12.88,52,15.0013,9,54,63,2011,1,4,14
83,1,0,1,1,11.48,13.635,52,16.9979,17,48,65,2011,1,4,15
84,1,0,1,1,12.3,14.395,49,16.9979,15,68,83,2011,1,4,16
85,1,0,1,1,11.48,13.635,48,15.0013,10,202,212,2011,1,4,17
86,1,0,1,1,10.66,12.88,48,12.998,3,179,182,2011,1,4,18
87,1,0,1,1,9.84,12.88,48,7.0015,2,110,112,2011,1,4,19
88,1,0,1,1,9.84,12.88,48,7.0015,1,53,54,2011,1,4,20
89,1,0,1,1,9.02,13.635,64,0.0,0,48,48,2011,1,4,21
90,1,0,1,1,9.02,12.88,64,6.0032,1,34,35,2011,1,4,22
91,1,0,1,1,8.2,11.365,69,6.0032,2,9,11,2011,1,4,23
92,1,0,1,1,8.2,12.88,64,0.0,0,6,6,2011,1,5,0
93,1,0,1,1,6.56,9.85,74,6.0032,0,6,6,2011,1,5,1
94,1,0,1,1,6.56,9.85,74,6.0032,0,2,2,2011,1,5,2
95,1,0,1,1,9.84,11.365,48,15.0013,0,2,2,2011,1,5,4
96,1,0,1,1,9.02,11.365,47,11.0014,0,3,3,2011,1,5,5
97,1,0,1,1,8.2,9.85,47,15.0013,0,33,33,2011,1,5,6
98,1,0,1,1,7.38,9.09,43,12.998,1,87,88,2011,1,5,7
99,1,0,1,1,8.2,9.09,40,19.9995,3,192,195,2011,1,5,8
100,1,0,1,1,9.02,9.85,37,22.0028,6,109,115,2011,1,5,9
101,1,0,1,1,9.02,9.85,37,22.0028,4,53,57,2011,1,5,10
102,1,0,1,1,10.66,11.365,33,22.0028,12,34,46,2011,1,5,11
103,1,0,1,1,10.66,11.365,33,22.0028,5,74,79,2011,1,5,12
104,1,0,1,1,11.48,12.88,30,19.9995,6,65,71,2011,1,5,13
105,1,0,1,1,12.3,14.395,28,12.998,10,52,62,2011,1,5,14
106,1,0,1,1,12.3,14.395,28,12.998,7,55,62,2011,1,5,15
107,1,0,1,1,12.3,15.91,28,6.0032,4,85,89,2011,1,5,16
108,1,0,1,1,9.84,11.365,38,12.998,4,186,190,2011,1,5,17
109,1,0,1,1,9.84,12.12,38,8.9981,3,166,169,2011,1,5,18
110,1,0,1,1,9.84,12.88,38,7.0015,5,127,132,2011,1,5,19
111,1,0,1,1,9.02,11.365,47,11.0014,7,82,89,2011,1,5,20
112,1,0,1,1,8.2,9.85,51,12.998,3,40,43,2011,1,5,21
113,1,0,1,1,7.38,9.85,55,8.9981,1,41,42,2011,1,5,22
114,1,0,1,1,8.2,12.88,47,0.0,1,18,19,2011,1,5,23
115,1,0,1,1,7.38,12.12,55,0.0,0,11,11,2011,1,6,0
116,1,0,1,1,6.56,11.365,64,0.0,0,4,4,2011,1,6,1
117,1,0,1,1,6.56,11.365,64,0.0,0,2,2,2011,1,6,2
118,1,0,1,2,6.56,9.85,64,6.0032,0,1,1,2011,1,6,4
119,1,0,1,2,5.74,9.09,69,6.0032,0,4,4,2011,1,6,5
120,1,0,1,2,5.74,8.335,63,7.0015,0,36,36,2011,1,6,6
121,1,0,1,2,6.56,11.365,59,0.0,0,95,95,2011,1,6,7
122,1,0,1,1,6.56,11.365,59,0.0,3,216,219,2011,1,6,8
123,1,0,1,2,7.38,12.12,51,0.0,6,116,122,2011,1,6,9
124,1,0,1,1,8.2,12.88,47,0.0,3,42,45,2011,1,6,10
125,1,0,1,1,9.02,12.88,44,6.0032,2,57,59,2011,1,6,11
126,1,0,1,1,10.66,14.395,35,0.0,6,78,84,2011,1,6,12
127,1,0,1,1,10.66,13.635,35,7.0015,12,55,67,2011,1,6,13
128,1,0,1,1,11.48,13.635,36,11.0014,11,59,70,2011,1,6,14
129,1,0,1,1,11.48,13.635,36,0.0,8,54,62,2011,1,6,15
130,1,0,1,1,10.66,12.88,38,11.0014,12,74,86,2011,1,6,16
131,1,0,1,1,9.02,11.365,51,11.0014,9,163,172,2011,1,6,17
132,1,0,1,1,9.02,11.365,51,8.9981,5,158,163,2011,1,6,18
133,1,0,1,1,9.02,12.88,55,6.0032,3,109,112,2011,1,6,19
134,1,0,1,1,8.2,10.605,51,11.0014,3,66,69,2011,1,6,20
135,1,0,1,2,9.02,10.605,55,15.0013,0,48,48,2011,1,6,21
136,1,0,1,2,9.02,10.605,51,19.0012,1,51,52,2011,1,6,22
137,1,0,1,2,8.2,9.85,59,12.998,4,19,23,2011,1,6,23
138,1,0,1,2,8.2,9.85,64,12.998,4,13,17,2011,1,7,0
139,1,0,1,2,8.2,9.85,69,15.0013,2,5,7,2011,1,7,1
140,1,0,1,2,8.2,9.85,69,15.0013,0,1,1,2011,1,7,2
141,1,0,1,2,8.2,10.605,69,8.9981,0,1,1,2011,1,7,4
142,1,0,1,3,9.02,13.635,55,0.0,0,5,5,2011,1,7,5
143,1,0,1,2,8.2,12.88,69,0.0,8,26,34,2011,1,7,6
144,1,0,1,1,8.2,10.605,69,8.9981,8,76,84,2011,1,7,7
145,1,0,1,1,8.2,9.85,51,16.9979,20,190,210,2011,1,7,8
146,1,0,1,1,8.2,9.09,47,19.9995,9,125,134,2011,1,7,9
147,1,0,1,1,9.02,9.85,37,22.0028,16,47,63,2011,1,7,10
148,1,0,1,2,8.2,9.85,40,15.0013,19,48,67,2011,1,7,11
149,1,0,1,2,8.2,9.85,37,16.9979,9,50,59,2011,1,7,12
150,1,0,1,2,8.2,9.09,37,19.0012,9,64,73,2011,1,7,13
151,1,0,1,2,8.2,9.85,40,16.9979,7,43,50,2011,1,7,14
152,1,0,1,2,8.2,10.605,37,11.0014,9,63,72,2011,1,7,15
153,1,0,1,2,8.2,10.605,37,11.0014,5,82,87,2011,1,7,16
154,1,0,1,2,8.2,12.88,37,0.0,9,178,187,2011,1,7,17
155,1,0,1,1,8.2,11.365,40,6.0032,7,116,123,2011,1,7,18
156,1,0,1,1,6.56,9.85,55,6.0032,3,92,95,2011,1,7,19
157,1,0,1,1,7.38,10.605,47,7.0015,1,50,51,2011,1,7,20
158,1,0,1,1,7.38,9.85,47,8.9981,0,39,39,2011,1,7,21
159,1,0,1,2,7.38,9.85,43,11.0014,2,34,36,2011,1,7,22
160,1,0,1,2,7.38,9.85,51,11.0014,1,14,15,2011,1,7,23
161,1,0,0,2,7.38,9.85,51,11.0014,1,24,25,2011,1,8,0
162,1,0,0,2,7.38,10.605,55,6.0032,1,15,16,2011,1,8,1
163,1,0,0,2,7.38,12.12,55,0.0,3,13,16,2011,1,8,2
164,1,0,0,3,7.38,9.85,55,11.0014,0,7,7,2011,1,8,3
165,1,0,0,3,7.38,9.85,55,11.0014,0,1,1,2011,1,8,4
166,1,0,0,2,6.56,8.335,74,11.0014,0,5,5,2011,1,8,5
167,1,0,0,2,6.56,8.335,74,11.0014,0,2,2,2011,1,8,6
168,1,0,0,2,6.56,9.09,74,7.0015,1,8,9,2011,1,8,7
169,1,0,0,3,6.56,9.09,93,7.0015,0,15,15,2011,1,8,8
170,1,0,0,3,6.56,9.09,93,7.0015,0,20,20,2011,1,8,9
171,1,0,0,2,7.38,9.85,80,11.0014,5,56,61,2011,1,8,10
172,1,0,0,2,8.2,9.09,69,26.0027,2,60,62,2011,1,8,11
173,1,0,0,2,8.2,9.09,59,23.9994,8,90,98,2011,1,8,12
174,1,0,0,1,8.2,9.09,44,22.0028,7,95,102,2011,1,8,13
175,1,0,0,1,8.2,8.335,32,32.9975,12,83,95,2011,1,8,14
176,1,0,0,1,8.2,8.335,32,30.0026,5,69,74,2011,1,8,15
177,1,0,0,1,7.38,6.82,29,30.0026,8,68,76,2011,1,8,16
178,1,0,0,1,6.56,6.06,37,36.9974,5,64,69,2011,1,8,17
179,1,0,0,1,5.74,6.06,39,19.9995,3,52,55,2011,1,8,18
180,1,0,0,1,5.74,6.06,36,16.9979,4,26,30,2011,1,8,19
181,1,0,0,1,4.92,6.06,36,16.9979,0,28,28,2011,1,8,20
182,1,0,0,1,4.92,5.305,39,23.9994,2,35,37,2011,1,8,21
183,1,0,0,1,4.92,5.305,36,26.0027,1,33,34,2011,1,8,22
184,1,0,0,1,4.1,3.03,39,30.0026,0,22,22,2011,1,8,23
185,1,0,0,1,4.1,3.79,42,26.0027,1,24,25,2011,1,9,0
186,1,0,0,1,4.1,3.03,42,31.0009,0,12,12,2011,1,9,1
187,1,0,0,1,4.1,3.03,46,31.0009,0,11,11,2011,1,9,2
188,1,0,0,1,4.1,3.79,46,27.9993,0,4,4,2011,1,9,3
189,1,0,0,1,3.28,4.545,53,12.998,0,1,1,2011,1,9,4
190,1,0,0,1,3.28,4.545,53,12.998,0,1,1,2011,1,9,5
191,1,0,0,1,4.1,4.545,49,19.0012,0,1,1,2011,1,9,6
192,1,0,0,1,3.28,4.545,53,12.998,1,5,6,2011,1,9,7
193,1,0,0,1,4.1,4.545,49,19.0012,0,10,10,2011,1,9,8
194,1,0,0,1,4.92,3.79,46,35.0008,0,19,19,2011,1,9,9
195,1,0,0,1,5.74,5.305,43,26.0027,0,49,49,2011,1,9,10
196,1,0,0,1,6.56,6.06,40,35.0008,2,47,49,2011,1,9,11
197,1,0,0,1,7.38,6.82,37,30.0026,4,79,83,2011,1,9,12
198,1,0,0,1,8.2,8.335,34,30.0026,6,69,75,2011,1,9,13
199,1,0,0,1,9.02,9.09,32,31.0009,8,64,72,2011,1,9,14
200,1,0,0,1,9.02,9.85,35,23.9994,5,77,82,2011,1,9,15
201,1,0,0,1,8.2,8.335,34,30.0026,13,79,92,2011,1,9,16
202,1,0,0,1,7.38,7.575,37,26.0027,3,59,62,2011,1,9,17
203,1,0,0,1,6.56,6.82,40,22.0028,4,44,48,2011,1,9,18
204,1,0,0,1,6.56,6.82,43,22.0028,1,40,41,2011,1,9,19
205,1,0,0,1,5.74,6.06,46,16.9979,0,38,38,2011,1,9,20
206,1,0,0,1,5.74,5.305,46,27.9993,1,19,20,2011,1,9,21
207,1,0,0,1,5.74,6.06,46,19.9995,5,10,15,2011,1,9,22
208,1,0,0,1,4.92,6.82,50,12.998,0,6,6,2011,1,9,23
209,1,0,1,1,4.92,6.06,50,19.0012,2,3,5,2011,1,10,0
210,1,0,1,1,4.92,6.06,50,19.0012,1,0,1,2011,1,10,1
211,1,0,1,1,4.92,6.06,50,15.0013,0,3,3,2011,1,10,2
212,1,0,1,1,4.92,6.06,50,15.0013,0,1,1,2011,1,10,3
213,1,0,1,1,4.1,6.06,54,8.9981,1,2,3,2011,1,10,4
214,1,0,1,1,4.1,5.305,54,16.9979,0,3,3,2011,1,10,5
215,1,0,1,1,4.92,6.06,50,19.0012,0,31,31,2011,1,10,6
216,1,0,1,1,4.92,6.06,50,15.0013,2,75,77,2011,1,10,7
217,1,0,1,2,4.92,6.06,50,19.0012,4,184,188,2011,1,10,8
218,1,0,1,2,5.74,6.06,50,16.9979,2,92,94,2011,1,10,9
219,1,0,1,2,5.74,6.06,50,19.9995,0,31,31,2011,1,10,10
220,1,0,1,2,6.56,6.82,47,19.0012,2,28,30,2011,1,10,11
221,1,0,1,2,8.2,9.09,40,19.0012,5,47,52,2011,1,10,12
222,1,0,1,2,8.2,9.09,40,19.0012,4,50,54,2011,1,10,13
223,1,0,1,2,8.2,9.85,40,15.0013,0,47,47,2011,1,10,14
224,1,0,1,2,8.2,9.85,40,15.0013,2,43,45,2011,1,10,15
225,1,0,1,1,8.2,10.605,40,8.9981,4,70,74,2011,1,10,16
226,1,0,1,1,8.2,11.365,40,7.0015,4,174,178,2011,1,10,17
227,1,0,1,1,8.2,9.85,40,15.0013,1,154,155,2011,1,10,18
228,1,0,1,1,6.56,8.335,47,11.0014,3,92,95,2011,1,10,19
229,1,0,1,1,6.56,8.335,50,11.0014,1,73,74,2011,1,10,20
230,1,0,1,1,5.74,6.82,59,12.998,1,37,38,2011,1,10,21
231,1,0,1,1,5.74,7.575,59,11.0014,2,22,24,2011,1,10,22
232,1,0,1,1,5.74,7.575,59,11.0014,0,18,18,2011,1,10,23
233,1,0,1,1,5.74,8.335,59,7.0015,2,10,12,2011,1,11,0
234,1,0,1,1,5.74,7.575,59,11.0014,0,3,3,2011,1,11,1
235,1,0,1,2,6.56,7.575,55,12.998,0,3,3,2011,1,11,2
236,1,0,1,2,6.56,9.09,55,8.9981,0,6,6,2011,1,11,5
237,1,0,1,2,6.56,9.09,55,8.9981,0,27,27,2011,1,11,6
238,1,0,1,2,6.56,11.365,55,0.0,2,97,99,2011,1,11,7
239,1,0,1,2,7.38,10.605,51,6.0032,3,214,217,2011,1,11,8
240,1,0,1,2,7.38,9.85,51,11.0014,3,127,130,2011,1,11,9
241,1,0,1,2,8.2,10.605,51,11.0014,3,51,54,2011,1,11,10
242,1,0,1,2,8.2,10.605,47,8.9981,4,31,35,2011,1,11,11
243,1,0,1,2,8.2,11.365,51,7.0015,2,55,57,2011,1,11,12
244,1,0,1,2,8.2,11.365,59,6.0032,6,46,52,2011,1,11,13
245,1,0,1,2,8.2,11.365,59,6.0032,3,60,63,2011,1,11,14
246,1,0,1,2,6.56,9.85,80,6.0032,2,45,47,2011,1,11,15
247,1,0,1,2,6.56,7.575,86,15.0013,4,72,76,2011,1,11,16
248,1,0,1,2,6.56,7.575,86,15.0013,6,130,136,2011,1,11,17
249,1,0,1,3,6.56,9.09,93,7.0015,1,94,95,2011,1,11,18
250,1,0,1,3,6.56,11.365,93,0.0,0,51,51,2011,1,11,19
251,1,0,1,3,6.56,7.575,93,12.998,0,32,32,2011,1,11,20
252,1,0,1,3,6.56,9.85,86,6.0032,0,20,20,2011,1,11,21
253,1,0,1,3,6.56,9.09,93,7.0015,1,28,29,2011,1,11,22
254,1,0,1,3,6.56,9.85,93,6.0032,1,18,19,2011,1,11,23
255,1,0,1,2,6.56,9.85,86,6.0032,0,7,7,2011,1,12,0
256,1,0,1,2,6.56,9.09,86,7.0015,0,6,6,2011,1,12,1
257,1,0,1,1,5.74,7.575,86,8.9981,0,1,1,2011,1,12,2
258,1,0,1,1,5.74,7.575,86,11.0014,0,5,5,2011,1,12,5
259,1,0,1,1,4.92,7.575,93,8.9981,0,16,16,2011,1,12,6
260,1,0,1,1,5.74,7.575,69,8.9981,0,54,54,2011,1,12,7
261,1,0,1,1,6.56,8.335,59,11.0014,3,125,128,2011,1,12,8
262,1,0,1,1,6.56,6.82,59,22.0028,3,78,81,2011,1,12,9
263,1,0,1,1,7.38,9.09,55,15.0013,0,39,39,2011,1,12,10
264,1,0,1,1,8.2,9.09,51,26.0027,3,32,35,2011,1,12,11
265,1,0,1,1,8.2,7.575,47,39.0007,3,52,55,2011,1,12,12
266,1,0,1,1,9.02,9.85,44,23.9994,0,49,49,2011,1,12,13
267,1,0,1,1,8.2,9.09,47,22.0028,0,44,44,2011,1,12,14
268,1,0,1,1,8.2,8.335,47,27.9993,1,48,49,2011,1,12,15
269,1,0,1,1,9.02,9.85,44,22.0028,5,63,68,2011,1,12,16
270,1,0,1,1,8.2,9.09,47,23.9994,0,139,139,2011,1,12,17
271,1,0,1,1,8.2,7.575,47,35.0008,2,135,137,2011,1,12,18
272,1,0,1,1,7.38,7.575,47,27.9993,1,82,83,2011,1,12,19
273,1,0,1,1,6.56,6.82,50,22.0028,2,54,56,2011,1,12,20
274,1,0,1,1,6.56,6.82,55,22.0028,0,57,57,2011,1,12,21
275,1,0,1,1,6.56,6.06,55,30.0026,1,32,33,2011,1,12,22
276,1,0,1,1,5.74,5.305,59,27.9993,1,19,20,2011,1,12,23
277,1,0,1,1,5.74,6.06,59,19.0012,1,6,7,2011,1,13,0
278,1,0,1,1,5.74,6.06,50,19.0012,0,2,2,2011,1,13,1
279,1,0,1,1,5.74,6.06,50,23.9994,0,2,2,2011,1,13,2
280,1,0,1,1,5.74,6.06,50,22.0028,0,3,3,2011,1,13,3
281,1,0,1,1,5.74,6.06,50,16.9979,0,4,4,2011,1,13,4
282,1,0,1,1,5.74,6.06,50,19.9995,0,3,3,2011,1,13,5
283,1,0,1,1,4.92,7.575,54,8.9981,0,28,28,2011,1,13,6
284,1,0,1,1,4.92,7.575,54,8.9981,0,72,72,2011,1,13,7
285,1,0,1,1,5.74,6.82,50,12.998,5,197,202,2011,1,13,8
286,1,0,1,1,5.74,6.06,50,22.0028,2,137,139,2011,1,13,9
287,1,0,1,2,6.56,6.82,50,23.9994,2,36,38,2011,1,13,10
288,1,0,1,2,8.2,8.335,44,30.0026,4,33,37,2011,1,13,11
289,1,0,1,1,8.2,8.335,44,27.9993,3,49,52,2011,1,13,12
290,1,0,1,1,9.02,9.85,41,30.0026,2,81,83,2011,1,13,13
291,1,0,1,1,9.02,9.85,41,26.0027,3,39,42,2011,1,13,14
292,1,0,1,1,9.84,10.605,38,19.9995,5,55,60,2011,1,13,15
293,1,0,1,1,9.84,10.605,38,23.9994,2,76,78,2011,1,13,16
294,1,0,1,1,8.2,9.09,40,19.0012,4,158,162,2011,1,13,17
295,1,0,1,1,8.2,9.09,40,22.0028,3,141,144,2011,1,13,18
296,1,0,1,1,6.56,7.575,47,16.9979,1,98,99,2011,1,13,19
297,1,0,1,1,6.56,7.575,47,15.0013,0,64,64,2011,1,13,20
298,1,0,1,1,5.74,6.06,46,19.9995,0,40,40,2011,1,13,21
299,1,0,1,1,5.74,6.06,46,22.0028,0,30,30,2011,1,13,22
300,1,0,1,1,4.92,6.82,50,12.998,1,14,15,2011,1,13,23
301,1,0,1,1,4.92,6.82,50,12.998,0,14,14,2011,1,14,0
302,1,0,1,1,4.1,6.06,54,11.0014,0,5,5,2011,1,14,1
303,1,0,1,1,4.1,6.06,54,8.9981,0,1,1,2011,1,14,2
304,1,0,1,1,4.1,6.82,54,7.0015,0,1,1,2011,1,14,3
305,1,0,1,1,4.1,6.82,54,6.0032,0,8,8,2011,1,14,5
306,1,0,1,1,4.1,9.09,54,0.0,0,17,17,2011,1,14,6
307,1,0,1,1,4.1,6.06,74,11.0014,0,70,70,2011,1,14,7
308,1,0,1,1,4.92,8.335,68,0.0,2,156,158,2011,1,14,8
309,1,0,1,1,5.74,7.575,69,8.9981,0,117,117,2011,1,14,9
310,1,0,1,1,7.38,9.09,55,12.998,4,40,44,2011,1,14,10
311,1,0,1,1,7.38,8.335,51,19.0012,6,47,53,2011,1,14,11
312,1,0,1,1,8.2,9.85,44,16.9979,2,59,61,2011,1,14,12
313,1,0,1,1,9.02,9.85,37,26.0027,4,73,77,2011,1,14,13
314,1,0,1,1,9.02,10.605,41,19.0012,5,59,64,2011,1,14,14
315,1,0,1,1,9.84,12.12,38,11.0014,9,59,68,2011,1,14,15
316,1,0,1,1,9.02,12.12,41,7.0015,3,87,90,2011,1,14,16
317,1,0,1,1,9.02,11.365,41,11.0014,4,155,159,2011,1,14,17
318,1,0,1,1,8.2,12.88,47,0.0,5,134,139,2011,1,14,18
319,1,0,1,1,6.56,9.85,59,6.0032,3,89,92,2011,1,14,19
320,1,0,1,1,7.38,12.12,59,0.0,0,68,68,2011,1,14,20
321,1,0,1,1,6.56,11.365,69,0.0,4,48,52,2011,1,14,21
322,1,0,1,2,6.56,11.365,69,0.0,2,34,36,2011,1,14,22
323,1,0,1,2,7.38,12.12,55,0.0,1,26,27,2011,1,14,23
324,1,0,0,1,7.38,12.12,55,0.0,3,25,28,2011,1,15,0
325,1,0,0,2,6.56,9.85,59,6.0032,2,18,20,2011,1,15,1
326,1,0,0,2,6.56,9.85,59,6.0032,0,12,12,2011,1,15,2
327,1,0,0,2,6.56,11.365,59,0.0,1,7,8,2011,1,15,3
328,1,0,0,2,6.56,11.365,59,0.0,0,5,5,2011,1,15,4
329,1,0,0,1,6.56,11.365,59,0.0,0,1,1,2011,1,15,5
330,1,0,0,1,5.74,8.335,63,7.0015,1,2,3,2011,1,15,6
331,1,0,0,1,5.74,10.605,63,0.0,1,9,10,2011,1,15,7
332,1,0,0,1,5.74,7.575,63,8.9981,1,22,23,2011,1,15,8
333,1,0,0,1,6.56,9.09,64,8.9981,2,31,33,2011,1,15,9
334,1,0,0,1,7.38,9.85,59,11.0014,2,57,59,2011,1,15,10
335,1,0,0,1,8.2,9.85,55,15.0013,18,54,72,2011,1,15,11
336,1,0,0,1,9.84,11.365,48,15.0013,15,74,89,2011,1,15,12
337,1,0,0,1,11.48,12.88,38,19.9995,21,80,101,2011,1,15,13
338,1,0,0,1,12.3,14.395,39,19.0012,26,92,118,2011,1,15,14
339,1,0,0,2,13.12,15.91,36,12.998,21,108,129,2011,1,15,15
340,1,0,0,2,13.94,16.665,34,12.998,33,95,128,2011,1,15,16
341,1,0,0,2,13.12,15.15,36,19.0012,29,54,83,2011,1,15,17
342,1,0,0,2,12.3,14.395,45,16.9979,15,69,84,2011,1,15,18
343,1,0,0,2,13.12,15.15,39,16.9979,14,60,74,2011,1,15,19
344,1,0,0,2,13.12,15.15,39,16.9979,6,35,41,2011,1,15,20
345,1,0,0,2,13.12,15.15,39,15.0013,6,51,57,2011,1,15,21
346,1,0,0,2,12.3,15.91,42,7.0015,0,26,26,2011,1,15,22
347,1,0,0,1,12.3,14.395,45,19.0012,5,39,44,2011,1,15,23
348,1,0,0,1,10.66,15.15,56,0.0,6,33,39,2011,1,16,0
